prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
d1991c3f6dd1389a:threes:0.5:over,Anthony Davis,threes,0.5,-145,PASS,-0.1451,0.2,0.37,0.4468,,,FLAT,0.2,0.6,0.6153846153846154,0,,0,,0
d1991c3f6dd1389a:threes:0.5:under,Anthony Davis,threes,0.5,111,PASS,0.0793,0.2,0.37,0.5532,,,FLAT,0.2,0.6,0.6153846153846154,0,,0,,0
08937c7231a9a619:threes:0.5:over,Cooper Flagg,threes,0.5,-195,PASS,-0.1394,0.1,0.55,0.5216,QUESTIONABLE,NBA Official Report,FLAT,0.4,0.4,0.5333333333333333,0,,0,,0
08937c7231a9a619:threes:0.5:under,Cooper Flagg,threes,0.5,147,PASS,0.0735,0.1,0.55,0.4784,QUESTIONABLE,NBA Official Report,FLAT,0.4,0.4,0.5333333333333333,0,,0,,0
56921d9666b86a8e:threes:0.5:over,Jeremiah Fears,threes,0.5,-192,PASS,-0.1575,0.2,0.5,0.5,,,UNKNOWN,,,,0,,0,,0
56921d9666b86a8e:threes:0.5:under,Jeremiah Fears,threes,0.5,146,PASS,0.0935,0.2,0.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:assists:1.5:over,P.J. Washington,assists,1.5,-200,PASS,-0.1667,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:assists:1.5:under,P.J. Washington,assists,1.5,147,PASS,0.0951,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:threes:1.5:over,Jordan Poole,threes,1.5,-190,PASS,-0.1552,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:threes:1.5:under,Jordan Poole,threes,1.5,130,PASS,0.0652,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
